"source_path","title","description","google_sites_file","content_type","notes"
"anytime_service_prices.html","基本料金・プレミアム料金シミュレーター | 何でも屋","何でも屋の基本料金・プレミアム料金をサービス、時間帯、給料単位、数量から概算できるシミュレーターです。","pages/anytime_service_prices.fragment.html","embed-widget","Google サイトの「埋め込む」で利用する候補。"
"documet/index.html","資料一覧 | 何でも屋","何でも屋の資料、動画、画像、PDFを確認できる資料一覧ページです。","pages/documet__index.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"form.html","フォーム一覧 | 何でも屋","何でも屋の各種申込フォーム、お問い合わせフォーム、ライフイベント支援フォームへのリンク一覧です。","pages/form.fragment.html","embed-widget","Google サイトの「埋め込む」で利用する候補。"
"guide/house/apply.html","何でも屋ハウス-申し込み | お申し込みフォーム","","pages/guide__house__apply.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/house/info.html","何でも屋ハウス-概要 | 何でも屋","","pages/guide__house__info.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/house/option.html","何でも屋ハウス-オプション | 何でも屋","","pages/guide__house__option.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/house/privilege.html","何でも屋ハウス-利用特典 | 何でも屋","","pages/guide__house__privilege.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/house/update.html","何でも屋ハウス-更新方法 | 何でも屋","","pages/guide__house__update.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/N.C.F~Nanndemoya_Crowd_Funding/advertisement.html","広告基金 | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__advertisement.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/N.C.F~Nanndemoya_Crowd_Funding/base-shelter-fund.html","事業拠点・職住一体型シェルター開設基金 | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__base-shelter-fund.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/N.C.F~Nanndemoya_Crowd_Funding/capital.html","資本基金 | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__capital.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/N.C.F~Nanndemoya_Crowd_Funding/electric-tricycle.html","電動三輪車基金 | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__electric-tricycle.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/N.C.F~Nanndemoya_Crowd_Funding/Handyman-House.html","何でも屋ハウス基金 | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__Handyman-House.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
"guide/N.C.F~Nanndemoya_Crowd_Funding/Life-Event-Support.html","ライフイベント支援基金 | 何でも屋","","pages/guide__N.C.F~Nanndemoya_Crowd_Funding__Life-Event-Support.fragment.html","page-content","Google サイトの本文へ移行するHTML断片。"
